Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
Lets Fight Ghost;Crime, Drama, Fantasy, Horror, Romance;Swedish, Spanish;Series;Thailand;< 30 minutes;Tomas Alfredson;KǾre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl;R;98;82;74;57;$2,122,065;12 Dec 2008;4/3/2021;205926;7.9
HOW TO BUILD A GIRL;Comedy;English;Movie;Canada;1-2 hour;Coky Giedroyc;Paddy Considine, Cleo, Beanie Feldstein, D��nal Finn;R;79;69;1;;$ 70,63;8-may-20;4/3/2021;2838;5.8
Centigrade;Drama, Thriller;English;Movie;Canada;1-2 hour;Brendan Walsh;Genesis Rodriguez, Vincent Piazza;Unrated;;46;;;$ 16,26;28 Aug 2020;4/3/2021;1720;4.3
ANNE+;Drama;Turkish;Series;Belgium,Netherlands;< 30 minutes;;Vahide Per��in, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz;;;;1;;;1-oct-16;4/3/2021;1147;6.5
Moxie;Animation, Short, Drama;English;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia;1-2 hour;Stephen Irwin;Ragga Gudrun;;;;;4;;22-sep-11;4/3/2021;63;6.3
The Con-Heartist;Comedy, Romance;Thai;Movie;Thailand;> 2 hrs;Mez Tharatorn;Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon;;;;;;;03 Dec 2020;3/3/2021;131;7.4
Gleboka woda;Drama;Polish;Series;Poland;< 30 minutes;;Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag;;;;2;4;;14-jun-11;3/3/2021;47;7.5
Instynkt;Crime;Polish;Series;Poland;< 30 minutes;;Pawel Kr��likowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki;;;;;;;3-mar-11;3/3/2021;107;3.9
Only a Mother;Drama;Swedish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic;1-2 hour;Alf Sj��berg;Ulf Palme, Ragnar Falck, Hugo Bj��rne, Eva Dahlbeck;;;;2;1;;31-oct-49;3/3/2021;88;6.7
Snowroller;Comedy;Swedish, English, German, Norwegian;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Lasse berg;Jon Skolmen, Cecilia Walton, Lasse berg, Eva Millberg;;;;;;;4-oct-85;3/3/2021;5926;6.6
Sunes Summer;Comedy, Family, Fantasy;Swedish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Jon Holmberg;Elis Gerdt, Tea Stjrne, Fredrik Hallgren, Baxter Renman;;;;;7;;30-nov-18;3/3/2021;560;5.5
The Invisible;Crime, Drama, Fantasy, Mystery, Thriller;English;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland;1-2 hour;David S. Goyer;Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin;PG-13;20;36;;1;$20,578,909;27 Apr 2007;3/3/2021;34738;6.2
The Simple Minded Murderer;Drama;Scanian, Swedish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Hans Alfredson;Stellan Skarsg�rd, Hans Alfredson, Per Myrberg, Maria Johansson;;92;;7;2;;1-sep-85;3/3/2021;2870;7.6
The Stig-Helmer Story;Comedy, Drama;Swedish, English;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Lasse berg;Jon Skolmen, Ida H�gberg, Lasse berg, Tobias Jacobsson;;;;;1;;25 Dec 2011;3/3/2021;1666;4.5
To Kill a Child;Short, Drama;Spanish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;< 30 minutes;Jos� Esteban Alenda, C�sar Esteban Alenda;Manolo Solo, Roger Prncep, Cristina Marcos, Roger lvarez;;;;2;5;;7-feb-11;3/3/2021;78;7.7
Joker;Crime, Drama, Thriller;English;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic;1-2 hour;Todd Phillips;Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy;R;68;59;112;228;$335,451,311;4-oct-19;3/3/2021;951938;8.4
I;Action, Adventure, Fantasy, Sci-Fi;English, Sanskrit;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland;1-2 hour;George Lucas;Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd;PG;52;51;26;69;$474,544,677;19-may-99;3/3/2021;733336;6.5
Harrys Daughters;Adventure, Drama, Fantasy, Mystery;English;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;David Yates;Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe;PG-13;96;85;46;94;$381,409,310;15-jul-11;3/3/2021;766594;8.1
Gyllene Tider;Music;Swedish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;30-60 mins;Lasse Hallstr�m;Micke Andersson, Anders Herrlin, G�ran Fritzson, Per Gessle;;;;;;;;3/3/2021;19;7.7
False As Water;Drama, Thriller;Swedish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Hans Alfredson;Marie G�ranzon, Stellan Skarsgrd, Sverre Anker Ousdal, Malin Ek;;;;3;;;8-nov-85;3/3/2021;546;6.3
Bang!;Short;;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Robert Breer;;;;;;;;;3/3/2021;197;5.6
1939;Drama;Swedish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;> 2 hrs;G�ran Carmback;Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergstr�m;;;;;;;25 Dec 1989;3/3/2021;364;5.5
Girls und Panzer das Finale;Animation, Action, Comedy;Japanese;Series;Japan;< 30 minutes;Tsutomu Mizushima;Mami Ozaki, Ikumi Nakagami, Mai Fuchigami, Ai Kayano;;;;;;;09 Dec 2017;2/3/2021;210;7.3
Indoo Ki Jawani;Comedy, Drama;Hindi;Movie;Canada,Mexico,South Africa,Thailand,Turkey,Singapore,Argentina,Israel,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,United States,Russia;1-2 hour;Abir Sengupta;Rakesh Bedi, Aditya Seal, Kiara Advani, Iqbal Khan;;;;;;;11 Dec 2020;2/3/2021;3505;1.4
The Coroner;Crime, Drama;English;Series;Canada;< 30 minutes;;Beatie Edney, Claire Goose, Oliver Gomm, Matt Bardock;TV-14;;;;;;16-nov-15;2/3/2021;1328;7
Brave New World;Drama, Sci-Fi;English;Series;Poland,Czech Republic,Hungary,Slovakia,Romania,India;< 30 minutes;;Nina Sosanya, Harry Lloyd, Jessica Brown Findlay, Alden Ehrenreich;TV-MA;;;;;;15-jul-20;2/3/2021;9408;7.1
Comrades: Almost a Love Story;Drama, Romance;Cantonese, Mandarin, English;Movie;South Korea;1-2 hour;Peter Ho-Sun Chan;Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung;;89;;23;8;$ 17,68;2-nov-96;1/3/2021;5047;8.1
The Closet;Comedy;French;Movie;South Korea;1-2 hour;Francis Veber;G�rard Depardieu, Mich�le Laroque, Daniel Auteuil, Thierry Lhermitte;R;85;72;1;1;$6,678,894;10 Aug 2001;1/3/2021;16657;7
The Mysterians;Action, Family, Sci-Fi, Thriller;Japanese, English;Movie;Japan;1-2 hour;Ishir Honda;Yumi Shirakawa, Akihiko Hirata, Kenji Sahara, Momoko Kchi;TV-Y7;51;;;;$ 975,00;15-may-59;1/3/2021;1383;6.2
No Longer Human;Biography, Drama, Thriller;Japanese;Movie;Japan;> 2 hrs;Mika Ninagawa;Tatsuya Fujiwara, Kengo Kra, Y�dai Chiba, Rie Miyazawa;;;;;2;;13-sep-19;1/3/2021;379;5.9
Repast;Drama;Japanese;Movie;Japan;1-2 hour;Mikio Naruse;Yukiko Shimazaki, Setsuko Hara, Ken Uehara, Yko Sugi;;87;;9;;;23-nov-51;1/3/2021;1355;7.7
Sway;Crime, Drama;Japanese;Movie;Japan;1-2 hour;Miwa Nishikawa;Masat Ibu, Hirofumi Arai, Joe Odagiri, Teruyuki Kagawa;;86;;10;4;;8-jul-06;1/3/2021;963;7.2
When a Woman Ascends the Stairs;Drama;Japanese;Movie;Japan;1-2 hour;Mikio Naruse;Hideko Takamine, Tatsuya Nakadai, Masayuki Mori, Reiko Dan;Not Rated;100;;;;;25-jun-63;1/3/2021;3771;8.1
Yearning;Drama;Japanese;Movie;Japan;1-2 hour;Mikio Naruse;Hideko Takamine, Yumi Shirakawa, Mitsuko Kusabue, Y�z Kayama;;88;;1;;;23-oct-64;1/3/2021;1359;8.1
Gorath;Action, Family, Sci-Fi, Thriller;Japanese, English;Movie;Japan;1-2 hour;Ishir Honda;Yumi Shirakawa, Kumi Mizuno, Akira Kubo, Ry Ikebe;Not Rated;35;;;;;15-may-64;1/3/2021;636;5.8
Ginza Cosmetics;Drama;Japanese, English;Movie;Japan;1-2 hour;Mikio Naruse;Y�ji Hori, Kyko Kagawa, Ranko Hanai, Kinuyo Tanaka;;45;;;;;14 Apr 1951;1/3/2021;279;6.9
Floating Clouds;Drama, Romance;Japanese;Movie;Japan;> 2 hrs;Mikio Naruse;Hideko Takamine, Isao Yamagata, Mariko Okada, Masayuki Mori;;83;;9;;;6-jun-80;1/3/2021;2395;7.7
Cheer Boys!!;Animation, Drama, Sport;Japanese;Movie;Japan;1-2 hour;;Jarrod Greene, Cris George, Dallas Reid, Justin Pate;TV-14;;;;;;5-jul-16;1/3/2021;70;6.4
365 Nights;;Japanese;Movie;Japan;1-2 hour;Kon Ichikawa;Hideko Takamine, Chizuko Nogami, Y�ji Hori, Ken Uehara;;;;;;;;1/3/2021;6;5.5
Restart After Come Back Home;Drama, Romance;Japanese;Movie;Japan;1-2 hour;Ry�ta Inoue;Masahiro Kmoto, Yukijir Hotaru, Eri Murakawa, Y�ki Furukawa;;;;;;;4-sep-20;1/3/2021;80;7.2
5 Minute;Comedy;English;Movie;Romania;1-2 hour;;Jeff Lewis;;;;;3;;12-oct-10;1/3/2021;41;8.6
Dilili in Paris;Animation, Adventure, Family, Mystery;French;Movie;Germany,Switzerland;1-2 hour;Michel Ocelot;Prunelle Charles-Ambron, Bruno Paviot, Natalie Dessay, Enzo Ratsito;PG;;37;1;2;;4-oct-19;1/3/2021;816;7
All of Us;Comedy;English;Movie;Netherlands;1-2 hour;;Duane Martin, Khamani Griffin, LisaRaye McCoy, Tony Rock;;;;;12;;16-sep-03;1/3/2021;1280;5.9
Let Joy Reign Supreme;Drama, History, War;French, Breton;Movie;France,Belgium;1-2 hour;Bertrand Tavernier;Philippe Noiret, Christine Pascal, Jean-Pierre Marielle, Jean Rochefort;Not Rated;79;;5;3;;26-mar-75;1/3/2021;1305;7.1
Valley of the Gods;Adventure, Drama, Sci-Fi, Thriller;English;Movie;Poland;> 2 hrs;Lech Majewski;Josh Hartnett, B�r�nice Marlohe, Keir Dullea, John Malkovich;TV-14;;;;2;;11 Aug 2020;1/3/2021;494;4.5
Framing John DeLorean;Documentary, Biography, Drama;English;Movie;Poland;1-2 hour;Don Argott, Sheena M. Joyce;Morena Baccarin, Alec Baldwin, Dean Winters, Josh Charles;Unrated;90;67;;;$ 145,63;7-jun-19;1/3/2021;1398;6.5
Critters Attack!;Comedy, Horror, Sci-Fi;English;Movie;Poland,Czech Republic,Hungary,Slovakia,Romania;1-2 hour;Bobby Miller;Tashiana Washington, Jaeden Noel, Jack Fulton, Ava Preston;R;44;;;;;6-nov-20;1/3/2021;2050;3.7
The Bold Type;Drama;English;Series;Lithuania,Poland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,South Africa,Slovakia,Sweden,Thailand,Netherlands,Singapore,Turkey,Israel,Romania,United Kingdom,Malaysia,India,Hong Kong,Japan,South Korea,Russia,Iceland,Switzerland;< 30 minutes;;Meghann Fahy, Melora Hardin, Katie Stevens, Aisha Dee;TV-14;;;2;14;;20-jun-17;1/3/2021;9767;8
Alice;Comedy, Romance;English, Cantonese;Series;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland;< 30 minutes;Woody Allen;June Squibb, Mia Farrow, William Hurt, Joe Mantegna;PG-13;75;67;1;7;$7,331,647;10 Jan 1991;1/3/2021;13379;6.6
Lobster Cop;Comedy, Crime;Mandarin;Movie;South Korea;1-2 hour;Xinyun Li;Hua Liu, You Zhou, Qianyuan Wang, Shanshan Yuan;;;;;;$ 85,69;22-jun-18;28/2/2021;143;5.1
Magic hour;Crime;English;Movie;South Korea;1-2 hour;Cole Mueller;Kris Lemche, C. Thomas Howell, Trevor Morgan, William Russ;;;;;;;;28/2/2021;90;5.5
Marionette;Mystery, Thriller;English;Movie;South Korea;1-2 hour;Elbert van Strien;Elijah Wolf, Sam Hazeldine, Thekla Reuten, Emun Elliott;;;;3;3;;19-sep-20;28/2/2021;1059;5.9
Miss Baek;Drama;Korean;Movie;South Korea;1-2 hour;Ji-won Lee;Hee-joon Lee, Jun Suk-ho, Si-ah Kim, Han Ji-min;Not Rated;;;10;16;;11-oct-18;28/2/2021;814;6.6
Old Marine Boy;Documentary;Korean;Movie;South Korea;1-2 hour;Mo-young Jin;Myoungho Park, Cheolhoon Park, Cheoljoon Park, Soonhee Kim;;;;;;;;28/2/2021;7;6.9
Ordinary People;Drama;English;Movie;South Korea;1-2 hour;Robert Redford;Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton;R;89;86;19;14;$54,766,923;19-sep-80;28/2/2021;47265;7.7
Outdoor Begins;Comedy, Fantasy, Horror, Thriller;Korean;Movie;South Korea;1-2 hour;Jinseung Lim;Yoo-Mi Lee, Young-geun Hong, Deok-jae Jo, Song-Ha Yeon;;;;;;;4-mar-17;28/2/2021;6;4.8
Paths of the Soul;Drama;Tibetan;Movie;South Korea;1-2 hour;Yang Zhang;Pei Yang, Tsring Chodron, Tsewang Dolkar, Jiangcuo Seba;Not Rated;94;90;5;7;$ 31,75;20-jun-17;28/2/2021;738;7.5
Promise at Dawn;Biography, Drama, Romance, War;French, Polish, Spanish, English;Movie;South Korea;> 2 hrs;Eric Barbier;Pierre Niney, Jean-Pierre Darroussin, Didier Bourdon, Charlotte Gainsbourg;;;;1;7;;6-sep-19;28/2/2021;2464;7.2
The Return;Drama;Russian;Movie;South Korea;1-2 hour;Andrey Zvyagintsev;Nataliya Vdovina, Konstantin Lavronenko, Ivan Dobronravov, Vladimir Garin;Not Rated;;82;34;19;$ 504,26;25-jun-03;28/2/2021;42530;8
The Rookies;Crime, Drama;English;Movie;South Korea;1-2 hour;;Sam Melville, Georg Stanford Brown, Gerald S. O Loughlin, Kate Jackson;;;;;;;7-mar-72;28/2/2021;834;6.7
Snatch Up;Drama, Crime, Action;English;Movie;South Korea;1-2 hour;Joon-Hyeong Heo;Kwang-ryul Jun, Oh Jeong-Se, Kyeong-Yeong Lee, Mu-Yeol Kim;;;;;;;12 Apr 2018;28/2/2021;52;6
Stray;Action, Crime, Fantasy, Thriller;English;Movie;South Korea;1-2 hour;Joe Sill;Karen Fukuhara, Christine Woods, Ross Partridge, Miyavi;Not Rated;56;54;;;;01 Apr 2019;28/2/2021;688;4.8
Stand by Me;Adventure, Drama;English;Movie;South Korea;1-2 hour;Rob Reiner;Jerry O Connell, Wil Wheaton, River Phoenix, Corey Feldman;R;91;75;5;11;$52,287,414;22 Aug 1986;28/2/2021;364302;8.1
Tea Pets;Animation, Adventure;Chinese;Movie;South Korea;1-2 hour;Gary Wang;Guanlin Ji, Jason Kesser;;;;;1;;14 Jan 2020;28/2/2021;199;5.6
A Tiger In Winter;Drama, Romance;Korean;Movie;South Korea;1-2 hour;Kwang-kuk Lee;Seung-gil Jeong, Hyun-Jung Go, Ye-eun Kim, Jin-wook Lee;;;;;1;;12 Apr 2018;28/2/2021;69;6.3
The Three Little Pigs;Animation;English;Movie;South Korea;1-2 hour;;Ric Herbert, Joanna Moore, Lee Perry;Not Rated;;;;;;;28/2/2021;34;5.8
Wonderstruck;Adventure, Drama, Mystery;English, Spanish;Movie;South Korea;1-2 hour;Todd Haynes;James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith;PG;68;71;1;33;$1,060,377;20-oct-17;28/2/2021;9533;6.2
Keys To The Heart;Comedy, Drama, Family;Korean;Movie;South Korea;> 2 hrs;Sung-Hyun Choi;Sung-ryung Kim, Jung-min Park, Lee Byung-Hun, Han Ji-min;;77;;;1;$ 75,13;26 Jan 2018;28/2/2021;825;7.5
Intimate Strangers;Drama, Romance, Thriller;French;Movie;South Korea;1-2 hour;Patrice Leconte;Fabrice Luchini, Sandrine Bonnaire, Anne Brochet, Michel Duchaussoy;R;86;71;;3;$2,110,589;3-sep-04;28/2/2021;4813;7
Homme Fatale;Comedy, History, Romance;Korean;Movie;South Korea;1-2 hour;Da-Jung Nam;Jisu Choi, Jun-Ho Lee, Jung So-Min, Gwi-hwa Choi;;;;;;;10-jul-19;28/2/2021;86;6.9
Happy Bus Day;Comedy, Drama;Korean;Movie;South Korea;1-2 hour;Seung-Won Lee;Ju-won Lee;;;;2;2;;21 Apr 2017;28/2/2021;27;6.8
Gonjiam: Haunted Asylum;Horror;Korean;Movie;South Korea;1-2 hour;Beom-sik Jeong;Wi Ha-Joon, Seung-Wook Lee, Ye-Won Mun, Yoo Je-Yoon;Not Rated;91;;2;9;$ 115,25;28-mar-18;28/2/2021;5195;6.3
Golden Slumber;Action, Drama, Thriller;Japanese;Movie;South Korea;1-2 hour;Yoshihiro Nakamura;Y�ko Takeuchi, Shihori Kanjiya, Nao Ohmori, Teruyuki Kagawa;;75;;;1;;30 Jan 2010;28/2/2021;1098;7.1
Extreme Job;Action, Comedy, Crime;Korean, Mandarin;Movie;South Korea;1-2 hour;Byeong-heon Lee;Lee Hanee, Shin Ha-kyun, Joon-seok Heo, Myoung Gong;Not Rated;82;;7;27;$1,565,885;21-jun-19;28/2/2021;6757;7.1
Default;Drama;Korean, English;Movie;South Korea;1-2 hour;Kook-Hee Choi;Kim Hye-su, Yoo Ah-In, Woo-jin Jo, Joon-ho Huh;Not Rated;78;;3;6;$ 203,78;28-nov-18;28/2/2021;1007;6.6
Criticsized;Action, Crime, Drama, Horror, Thriller;English;Movie;South Korea;1-2 hour;Carl T. Evans;James Kyson, Kerr Smith, Callum Blue, Mike Marino;;17;;;;;13 Dec 2016;28/2/2021;173;3.6
Communication & Lies;Short, Drama;English;Movie;South Korea;1-2 hour;Christopher Banks;Alexander Campbell, Rita Lefau Ryan, Rudi Vodanovich, Richard Lambeth;;;;;;;;28/2/2021;105;5
Clover;Comedy, Crime, Thriller;English;Movie;South Korea;1-2 hour;Jon Abrahams;Mark Webber, Nicole Elizabeth Berger, Erika Christensen, Jon Abrahams;;;43;;;;03 Apr 2020;28/2/2021;246;4.2
Blood Orange;Thriller;English;Movie;South Korea;1-2 hour;Toby Tobias;Ben Lamb, Iggy Pop, Kacey Clarke, Antonio Magro;Not Rated;7;;;;;29 Apr 2016;28/2/2021;742;4.3
The Big Shot;Crime, Drama, Film-Noir, Thriller;English;Movie;South Korea;1-2 hour;Lewis Seiler;Susan Peters, Humphrey Bogart, Richard Travis, Irene Manning;Approved;;;;;;13-jun-42;28/2/2021;782;6.7
Angels Time;Action, Drama, Fantasy, Thriller;English;Movie;South Korea;1-2 hour;;J. August Richards, Alexis Denisof, David Boreanaz, Charisma Carpenter;TV-14;;;12;48;;5-oct-99;28/2/2021;64596;7.9
After My Death;Drama;Korean;Movie;South Korea;1-2 hour;Kim Uiseok;Taekyung Lee, Yeo-bin Jeon, Young-hwa Seo, Won-Hee Go;;;;8;8;;13-sep-18;28/2/2021;224;6.3
The Age of Blood;Action;Korean;Movie;South Korea;1-2 hour;Hong-sun Kim;Seung-jin Hong, Su-a Hong, Jung Hae-In, Dan-bi Geum;;;;;;;14-nov-17;28/2/2021;148;5.9
The Accidental Detective 2: In Action;Comedy, Crime, Thriller;Korean;Movie;South Korea;1-2 hour;Eon-hie Lee;Yeong-hie Seo, Sang-Woo Kwon, Dong-il Sung, Sung-je Cha;;73;;;;$ 179,05;22-jun-18;28/2/2021;513;6.5
12 Feet Deep;Horror, Thriller;English;Movie;South Korea;1-2 hour;Matt Eskandari;Diane Farr, Christian Kain Blackburn, Nora-Jane Noone, Alexandra Park;Not Rated;;;;;;20-jun-17;28/2/2021;11977;5.5
1987: When the Day Comes;Drama;Korean;Movie;South Korea;> 2 hrs;Joon-Hwan Jang;Hae-Jin Yoo, Jung-woo Ha, Kim Yoon-seok, Kim Tae-ri;Not Rated;82;;25;38;;12 Jan 2018;28/2/2021;3819;7.8
Enter the Fat Dragon;Action, Comedy;Cantonese, Japanese, English;Movie;South Korea;1-2 hour;Kenji Tanigaki, Aman Chang;Jing Wong, Niki Chow, Teresa Mo, Donnie Yen;TV-14;;;;;$ 46,86;14-feb-20;28/2/2021;1351;5.7
Operation Buffalo;Adventure, Comedy, Drama, Thriller, War;English, Aboriginal;Series;Thailand,Singapore,Australia,Malaysia,India,Hong Kong,Japan;< 30 minutes;;Tony Martin, Jessica De Gouw, James Cromwell, Ewen Leslie;;;;1;11;;31-may-20;28/2/2021;401;6.3
Bigfoot Family;Animation, Family;;Movie;Australia,United Kingdom,United States,Canada;1-2 hour;Ben Stassen, Jeremy Degruson;Kylian Trouillard, Marie Chevalot, Frederic Souterelle, Alexis Victor;TV-Y7;;;;1;;05 Aug 2020;27/2/2021;749;6
The Girl on the Train;Crime, Drama, Mystery, Thriller;English, Spanish;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina;> 2 hrs;Tate Taylor;Emily Blunt, Justin Theroux, Rebecca Ferguson, Haley Bennett;R;44;48;4;12;$75,395,035;7-oct-16;27/2/2021;169614;6.5
Ginny & Georgia - The Afterparty;Animation, Short;English;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia,Argentina;30-60 mins;Susi Jirkuff;Georgi Nightingall, Howard Nightingall;;;;;;;1-may-16;27/2/2021;7;5.3
Ride Your Wave;Animation, Comedy, Drama, Family, Fantasy, Romance;Japanese;Movie;Japan;1-2 hour;Masaaki Yuasa;Kentaro Ito, Honoka Matsumoto, Rina Kawaei, Ryta Katayose;Not Rated;93;63;2;3;$ 332,43;19-feb-20;26/2/2021;1601;6.8
Baumbacher Syndrome;Comedy, Drama;English, German;Movie;Germany,Switzerland;1-2 hour;Gregory Kirchhoff;L�szl� Branko Breiding, Kaweh Modiri, Ingvild Deila, Elit Iscan;;;;2;9;;20 Jan 2021;26/2/2021;332;7.4
La Palma;Comedy, Drama, Romance;German, English, Spanish, Danish;Movie;Germany,Switzerland;1-2 hour;Erec Brehmer;Dani Alvarez, Daniel Strer, Jesper Ankarfeldt, Marleen Lohse;;;;;;;4-jun-20;26/2/2021;49;7.6
Fuga;Drama, Music, Thriller;Spanish;Movie;Spain,Mexico,Brazil,Colombia,United States,Argentina;1-2 hour;Pablo Larran;Gast�n Pauls, Benjamn Vicu�a, Francisca Imboden, Mara Izquierdo;;33;;5;2;;27-mar-06;26/2/2021;932;6.2
Geez & Ann;Animation;English;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Canada,Belgium,Mexico,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Netherlands,Argentina,Germany,Israel,Turkey,Australia,Romania,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia;1-2 hour;;Angela Adams, J. Adams;;;;;;;22-jun-12;26/2/2021;40;8
Capone;Biography, Crime, Drama;English, Polish;Movie;United Kingdom;1-2 hour;Josh Trank;Linda Cardellini, Tom Hardy, Matt Dillon, Al Sapienza;R;;46;;1;;12-may-20;25/2/2021;14436;4.7
Vaterland: A Hunting Logbook;Thriller;Czech;Movie;Slovakia;1-2 hour;David Jarab;Vasil Fridrich, Karel Roden, Frantisek Reh�k, Petr Forman;;;;2;1;;19 Aug 2004;25/2/2021;135;6.3
The Last Bastion;Drama, History, War;English;Series;Spain,Mexico,Argentina,Brazil,Colombia,United States;< 30 minutes;;Ron Blanchard, Colin McEwan, Bill Hunter, Phil Perman;;;;;;;6-nov-84;25/2/2021;60;8.5
Princess Principal;Animation, Action, Adventure, Drama, Sci-Fi;Japanese;Series;Japan;< 30 minutes;;Akari Kageyama, Akira Sekine, Ayaka Imamura, You Taichi;TV-MA;;;1;1;;9-jul-17;24/2/2021;321;7.3
Above Suspicion;Action, Biography, Crime, Thriller;English;Movie;Mexico,Argentina,Brazil,Colombia;1-2 hour;Phillip Noyce;Jack Huston, Emilia Clarke, Sophie Lowe, Johnny Knoxville;R;;57;;;;13-nov-20;24/2/2021;2496;5.5
A Call to Spy;Biography, Crime, Drama, Thriller, War;English;Movie;United Kingdom;> 2 hrs;Lydia Dean Pilcher;Sarah Megan Thomas, Radhika Apte, Linus Roache, Stana Katic;PG-13;;65;3;2;$ 159,01;2-oct-20;23/2/2021;1684;6.3
